Number,Question,Answer,ClauseRef,Section
1.1,Initial lenders in the syndicate:,"<b>Lender</b> - Barclays, Bank of Tokyo Mitsubishi

<b>DistributionList</b> - Contact1@BankOfTokyoMitsubishi.com, Contact1@Barclays.com, Contact2@Barclays.com
",,Overview
1.2,Principal Sponsor (if any),My Test Principal Borrower,,Overview
1.3,Date of original credit agreement,13/01/2017,,Overview
1.4,Date of all amendments/amendments and restatements on or after the date of the original credit agreement,"Amendments - Amendment, Date - 13/01/2017 ",,Overview
1.5,A&O contacts,"Martin.Bentley@AllenOver.com, Andreas.VanGreunen@AllenOver.com",,Overview
2.1,Total Commitments,"FacilityType - Aquisition, Ranking - Free text, Currency - HUF, Amount - 100000, MaturityDate - 31/01/2017 ",,Facilities
,Total Commitments Row (2),"FacilityType - Revolving, Ranking - Mezzanine, Currency - EUR, Amount - 900000, MaturityDate - 31/01/2222 ",,Facilities
2.2,Purpose clause,Party fun,,Facilities
2.3,What level of consent is required to approve an extension of maturity?,Autonomous,,Facilities
2.4,Extension options,Evergreen,,Facilities
2.5,Does the credit agreement contain interest rate floors (eg. LIBOR may not be below zero)?,No,1.2,Facilities
2.6,Is a disposal a mandatory prepayment event?,Yes,,Facilities
,What is the size of any general permitted basket?,"Currency - GBP, Amount - 1000 ",,Facilities
2.7,Is a change of control a mandatory prepayment event?,Yes,,Facilities
2.8,Does the credit agreement contain a tax gross-up?,Yes,2.8.8,Facilities
2.9,Does the credit agreement contain a negative pledge?,Yes,,Facilities
,What is the size of any general permitted basket?,"Currency - GBP, Amount - 2000 ",3.2,Facilities
2.10,Does the credit agreement contain a restriction on incurring financial indebtedness?,Yes,,Facilities
,What is the size of any general permitted basket?,"Currency - CAD, Amount - 3000 ",,Facilities
2.11,Does the credit agreement contain the following financial covenants,,,Facilities
,debt:EBITDA (leverage)?,Yes,,Facilities
,EBITDA:interest (interest cover)?,Yes,,Facilities
,Cashflow:debt service costs (cashflow cover)?,Yes,,Facilities
,Tangible net worth?,Yes,,Facilities
2.12,Does the credit agreement contain any other financial covenants?,Yes,,Facilities
2.13,Does the credit agreement contain a guarantor coverage covenant?,Yes,,Facilities
2.14,Does the credit agreement contain obligations for the borrower to provide the following to the agent/lenders:,,,Facilities
,All documents dispatched by the borrower to its shareholders or its creditors generally?,Yes,,Facilities
,"Details of any litigation, arbitration or administrative proceedings?",Yes,,Facilities
,Notification of any default?,Yes,,Facilities
,"Further information on request regarding the financial condition, business or operations of any member of the group?",Yes,,Facilities
,Notification of any change in ownership/shareholding of the group?,Yes,,Facilities
,Notification of any changes in the constitutive documents of any obligor?,Yes,,Facilities
,Consolidated annual financial statements?,Yes,,Facilities
,Further option:,"Number - 12, PeriodEnd - Month(s) after period end ",,Facilities
,Consolidated semi-annual financial statements?,Yes,,Facilities
,Further option:,"Number - 6, PeriodEnd - Month(s) after period end ",,Facilities
,Consolidated quarterly financial statements?,Yes,,Facilities
,Further option:,"Number - 3, PeriodEnd - Week(s) after period end ",,Facilities
,Consolidated monthly financial statements?,Yes,,Facilities
,Further option:,"Number - 1, PeriodEnd - Week(s) after period end ",,Facilities
,Unconsolidated annual financial statements?,Yes,2.98,Facilities
,Further option:,"Number - 2, PeriodEnd - Business Day(s) after period end ",1.589,Facilities
,Unconsolidated semi-annual financial statements?,No,,Facilities
